20250518T082332 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082333 | B0 03 01 00 00 58 5E 2D
20250518T082333 | B0 03 00 58 05 70 00 00 00 00 00 00 00 00 00 00 05 2A 00 82 05 2C FF 7E 00 62 11 B3 00 F0 00 00 00 02 05 23 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 9F B7
20250518T082333 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082333 | C0 03 01 00 00 1E D4 EF
20250518T082334 | F5 03 00 00 00 0B 11 79
20250518T082334 | F0 03 00 08 00 0C D1 2C
20250518T082334 | 7E FF A0 03 00 08 CD D7
20250518T082334 | 7E FF C1 03 00 08 D2 2B
20250518T082335 | 7E FF 41 03 00 08 FB EB
20250518T082335 | B0 03 00 08 00 44 DF DA B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082335 | B0 03 01 00 00 58 5E 2D B0 03 00 58 05 70 00 00 00 00 00 00 00 00 00 00 05 2A 00 80 05 2D FF 80 00 62 11 FA 00 F0 00 00 00 02 05 23 00 00 08 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 64 2F
20250518T082336 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082336 | C0 03 01 00 00 1E D4 EF
20250518T082336 | F5 03 00 00 00 0B 11 79
20250518T082337 | F0 03 00 08 00 0C D1 2C
20250518T082337 | 7E FF A0 03 00 08 CD D7
20250518T082337 | 7E FF C1 03 00 08 D2 2B
